"","Coef.","Std.Err.","z","P>|z|","[0.025","0.975]"
"Intercept","0.338","0.017","20.160","0.000","0.305","0.371"
"IRF3","0.164","0.207","0.792","0.428","-0.242","0.570"
"NFYB","-0.035","0.069","-0.501","0.616","-0.170","0.101"
"NFYA","0.177","0.212","0.835","0.404","-0.239","0.593"
"ZNF143","0.069","0.064","1.082","0.279","-0.056","0.194"
"POLR2A","-0.002","0.015","-0.154","0.878","-0.033","0.028"
"TBP","-0.095","0.066","-1.451","0.147","-0.224","0.033"
"PKNOX1","0.014","0.085","0.161","0.872","-0.153","0.180"
"CHD2","-0.069","0.115","-0.603","0.546","-0.294","0.156"
"EBF1","-0.072","0.060","-1.198","0.231","-0.189","0.046"
"MEF2B","0.046","0.121","0.380","0.704","-0.191","0.283"
"DPF2","0.217","0.182","1.193","0.233","-0.140","0.573"
"GATAD2B","-0.120","0.300","-0.398","0.691","-0.708","0.469"
"NKRF","0.178","0.191","0.932","0.352","-0.197","0.554"
"BHLHE40","-0.057","0.038","-1.485","0.138","-0.132","0.018"
"GABPA","0.174","0.214","0.813","0.416","-0.246","0.594"
"POLR2AphosphoS2","-0.116","0.093","-1.248","0.212","-0.298","0.066"
"SMAD5","0.168","0.273","0.615","0.538","-0.367","0.703"
"EED","-0.059","0.173","-0.343","0.731","-0.399","0.280"
"ELF1","-0.024","0.066","-0.367","0.714","-0.153","0.105"
"CBFB","-0.147","0.170","-0.862","0.389","-0.480","0.187"
"POLR2AphosphoS5","0.011","0.147","0.072","0.943","-0.278","0.299"
"SREBF2","-0.769","0.921","-0.835","0.403","-2.574","1.035"
"ZBED1","0.208","0.270","0.769","0.442","-0.322","0.737"
"POU2F2","0.908","0.827","1.098","0.272","-0.713","2.529"
"ATF7","0.158","0.097","1.620","0.105","-0.033","0.349"
"IKZF2","0.018","0.077","0.239","0.811","-0.132","0.169"
"NR2F1","0.080","0.217","0.367","0.713","-0.346","0.506"
"ARNT","-0.134","0.124","-1.084","0.278","-0.377","0.108"
"ZNF217","0.491","0.362","1.357","0.175","-0.218","1.200"
"SMAD1","0.100","0.344","0.291","0.771","-0.573","0.773"
"RELB","-0.357","0.191","-1.869","0.062","-0.731","0.017"
"IKZF1","0.022","0.043","0.500","0.617","-0.063","0.106"
"SPI1","-0.064","0.205","-0.310","0.756","-0.465","0.338"
"USF1","-0.008","0.095","-0.085","0.933","-0.195","0.179"
"BCL11A","-0.056","0.369","-0.152","0.879","-0.779","0.667"
"IRF4","0.046","0.421","0.110","0.913","-0.778","0.871"
"ZNF687","0.008","0.155","0.054","0.957","-0.296","0.312"
"MAZ","-0.184","0.100","-1.838","0.066","-0.379","0.012"
"MTA2","-0.349","0.207","-1.690","0.091","-0.755","0.056"
"NBN","-0.224","0.126","-1.772","0.076","-0.471","0.024"
"TBX21","-0.280","0.180","-1.560","0.119","-0.633","0.072"
"TARDBP","1.032","0.313","3.299","0.001","0.419","1.646"
"CREB1","0.069","0.097","0.708","0.479","-0.121","0.258"
"ZNF592","1.206","0.196","6.158","0.000","0.822","1.590"
"MEF2A","-0.207","0.600","-0.345","0.730","-1.383","0.968"
"ATF2","-0.108","0.395","-0.273","0.784","-0.883","0.667"
"TCF7","0.047","0.463","0.101","0.920","-0.861","0.954"
"NFIC","0.078","0.272","0.286","0.775","-0.455","0.610"
