"","Coef.","Std.Err.","z","P>|z|","[0.025","0.975]"
"Intercept","10.320","2.339","4.412","0.000","5.735","14.905"
"IRF3","-3.641","11.960","-0.304","0.761","-27.081","19.799"
"NFYB","-0.455","3.732","-0.122","0.903","-7.769","6.859"
"NFYA","-5.511","12.219","-0.451","0.652","-29.460","18.438"
"ZNF143","-0.300","3.438","-0.087","0.931","-7.038","6.439"
"POLR2A","0.729","0.783","0.932","0.352","-0.805","2.263"
"TBP","-3.954","3.745","-1.056","0.291","-11.293","3.385"
"PKNOX1","-3.755","5.544","-0.677","0.498","-14.622","7.111"
"CHD2","-3.456","6.069","-0.569","0.569","-15.351","8.439"
"EBF1","2.018","3.644","0.554","0.580","-5.125","9.161"
"MEF2B","4.068","8.335","0.488","0.626","-12.268","20.403"
"DPF2","-1.864","12.946","-0.144","0.885","-27.237","23.509"
"GATAD2B","-2.332","21.920","-0.106","0.915","-45.293","40.630"
"NKRF","-1.313","14.775","-0.089","0.929","-30.272","27.645"
"BHLHE40","0.485","2.765","0.175","0.861","-4.934","5.904"
"GABPA","9.403","13.566","0.693","0.488","-17.185","35.992"
"POLR2AphosphoS2","2.018","5.685","0.355","0.723","-9.125","13.161"
"SMAD5","-3.721","33.059","-0.113","0.910","-68.516","61.074"
"EED","-4.063","10.754","-0.378","0.706","-25.141","17.015"
"ELF1","-1.367","4.523","-0.302","0.762","-10.233","7.498"
"CBFB","-3.922","11.702","-0.335","0.738","-26.857","19.013"
"POLR2AphosphoS5","-0.199","9.564","-0.021","0.983","-18.944","18.545"
"SREBF2","-22.732","76.953","-0.295","0.768","-173.558","128.094"
"ZBED1","-6.440","21.367","-0.301","0.763","-48.318","35.439"
"POU2F2","16.894","63.149","0.268","0.789","-106.876","140.664"
"ATF7","0.803","7.053","0.114","0.909","-13.020","14.626"
"IKZF2","4.259","5.487","0.776","0.438","-6.496","15.013"
"NR2F1","-2.720","17.302","-0.157","0.875","-36.631","31.192"
"ARNT","-7.897","9.987","-0.791","0.429","-27.471","11.678"
"ZNF217","-110.794","20.978","-5.281","0.000","-151.910","-69.678"
"SMAD1","9.410","25.178","0.374","0.709","-39.937","58.758"
"RELB","-9.423","12.323","-0.765","0.444","-33.577","14.730"
"IKZF1","-0.091","2.703","-0.034","0.973","-5.389","5.208"
"SPI1","25.398","11.996","2.117","0.034","1.886","48.911"
"USF1","0.227","5.982","0.038","0.970","-11.498","11.952"
"BCL11A","7.536","22.298","0.338","0.735","-36.166","51.239"
"IRF4","-19.535","27.798","-0.703","0.482","-74.018","34.949"
"ZNF687","-3.355","10.466","-0.321","0.749","-23.868","17.158"
"MAZ","-1.082","6.452","-0.168","0.867","-13.727","11.562"
"MTA2","18.259","13.902","1.313","0.189","-8.989","45.506"
"NBN","-6.361","8.235","-0.772","0.440","-22.502","9.779"
"TBX21","8.280","11.800","0.702","0.483","-14.849","31.408"
"TARDBP","13.135","19.548","0.672","0.502","-25.177","51.448"
"CREB1","-2.448","6.049","-0.405","0.686","-14.304","9.408"
"ZNF592","-6.469","15.100","-0.428","0.668","-36.064","23.126"
"MEF2A","10.441","34.675","0.301","0.763","-57.520","78.402"
"ATF2","-8.992","25.888","-0.347","0.728","-59.732","41.748"
"TCF7","4.293","28.192","0.152","0.879","-50.963","59.549"
"NFIC","1.510","17.109","0.088","0.930","-32.022","35.042"
"ZBTB40","7.099","13.072","0.543","0.587","-18.521","32.719"
"SKIL","316.232","491.750","0.643","0.520","-647.581","1280.044"
"SRF","-0.217","4.141","-0.052","0.958","-8.333","7.898"
"YY1","-46.832","8.708","-5.378","0.000","-63.901","-29.764"
"BACH1","9.519","18.752","0.508","0.612","-27.234","46.271"
"TAF1","-5.924","28.991","-0.204","0.838","-62.745","50.897"
"RUNX3","5.422","4.698","1.154","0.248","-3.786","14.630"
"CTCF","-1.254","4.387","-0.286","0.775","-9.853","7.345"
"CREM","1.015","7.201","0.141","0.888","-13.099","15.129"
"USF2","1.384","9.269","0.149","0.881","-16.782","19.550"
"MXI1","3.671","14.351","0.256","0.798","-24.457","31.798"
"NRF1","-6.151","5.160","-1.192","0.233","-16.264","3.963"
"TRIM22","-2.134","16.119","-0.132","0.895","-33.728","29.459"
"RAD51","8.834","14.173","0.623","0.533","-18.944","36.612"
"MAX","-1.930","18.656","-0.103","0.918","-38.496","34.635"
"NFATC3","-5.691","17.517","-0.325","0.745","-40.023","28.641"
"HDGF","-3.998","17.663","-0.226","0.821","-38.616","30.621"
"ETV6","9.508","14.716","0.646","0.518","-19.335","38.351"
"RAD21","0.025","17.159","0.001","0.999","-33.606","33.656"
"BCLAF1","48.492","61.049","0.794","0.427","-71.162","168.145"
"ARID3A","-6.738","27.212","-0.248","0.804","-60.072","46.595"
"LARP7","-12.439","28.066","-0.443","0.658","-67.446","42.569"
"RB1","-3.924","9.149","-0.429","0.668","-21.856","14.008"
"SMARCA5","4.995","11.368","0.439","0.660","-17.285","27.276"
"RELA","-3.223","14.843","-0.217","0.828","-32.316","25.869"
"FOXK2","1.463","6.365","0.230","0.818","-11.012","13.938"
"ZNF24","2.016","14.661","0.137","0.891","-26.719","30.750"
"E4F1","-40.204","29.148","-1.379","0.168","-97.334","16.925"
"NR2C1","-2.537","21.010","-0.121","0.904","-43.715","38.641"
"TCF12","-5.243","8.489","-0.618","0.537","-21.881","11.395"
"MLLT1","-1.848","4.196","-0.440","0.660","-10.072","6.377"
"NR2C2","-1.135","9.282","-0.122","0.903","-19.327","17.057"
"BMI1","16.159","7.156","2.258","0.024","2.133","30.185"
"HCFC1","-7.011","25.814","-0.272","0.786","-57.606","43.584"
"EGR1","-1.995","9.502","-0.210","0.834","-20.619","16.630"
"ZBTB11","-0.965","14.864","-0.065","0.948","-30.098","28.168"
"H3K4me3","-0.637","5.372","-0.119","0.906","-11.165","9.891"
"NFATC1","-8.099","16.901","-0.479","0.632","-41.224","25.026"
"REST","-0.200","20.115","-0.010","0.992","-39.625","39.225"
"MTA3","-315.330","507.620","-0.621","0.534","-1310.247","679.588"
"PAX5","1.793","10.863","0.165","0.869","-19.498","23.084"
"ZSCAN29","-3.960","20.663","-0.192","0.848","-44.458","36.538"
"JUNB","-1.204","29.259","-0.041","0.967","-58.551","56.144"
"KLF5","2.882","14.053","0.205","0.837","-24.661","30.426"
"TCF3","2.103","24.270","0.087","0.931","-45.465","49.671"
"ETS1","2.319","11.863","0.195","0.845","-20.933","25.570"
"H3K9ac","-1.707","12.891","-0.132","0.895","-26.972","23.559"
"RFX5","-0.483","10.098","-0.048","0.962","-20.275","19.308"
"BATF","-14.189","14.594","-0.972","0.331","-42.793","14.415"
"SMC3","6.475","12.476","0.519","0.604","-17.978","30.928"
"BRCA1","-9.877","15.008","-0.658","0.510","-39.293","19.538"
"ZBTB33","-1.444","15.515","-0.093","0.926","-31.852","28.964"
"CHD1","-1.430","18.644","-0.077","0.939","-37.971","35.110"
"ZFP36","-44.286","301.940","-0.147","0.883","-636.078","547.506"
"H2AFZ","-1.865","13.168","-0.142","0.887","-27.675","23.944"
"CEBPB","8.332","9.208","0.905","0.366","-9.715","26.379"
"BCL3","2.195","11.685","0.188","0.851","-20.707","25.098"
"CEBPZ","-22.689","20.250","-1.120","0.263","-62.378","17.000"
"KDM1A","55.508","244.195","0.227","0.820","-423.106","534.122"
