"","Coef.","Std.Err.","z","P>|z|","[0.025","0.975]"
"Intercept","102.875","9.512","10.816","0.000","84.233","121.518"
"IRF3","248.572","109.514","2.270","0.023","33.928","463.216"
"NFYB","6.476","36.179","0.179","0.858","-64.434","77.385"
"NFYA","-36.903","112.920","-0.327","0.744","-258.223","184.417"
"ZNF143","38.962","33.224","1.173","0.241","-26.156","104.080"
"POLR2A","1.306","7.903","0.165","0.869","-14.184","16.796"
"TBP","-42.173","34.700","-1.215","0.224","-110.183","25.838"
"PKNOX1","-4.116","46.064","-0.089","0.929","-94.400","86.168"
"CHD2","-59.299","59.760","-0.992","0.321","-176.427","57.830"
"EBF1","-13.219","31.640","-0.418","0.676","-75.231","48.794"
"MEF2B","-49.325","65.323","-0.755","0.450","-177.355","78.705"
"DPF2","19.665","100.240","0.196","0.844","-176.803","216.132"
"GATAD2B","-152.844","164.617","-0.928","0.353","-475.486","169.799"
"NKRF","208.843","104.015","2.008","0.045","4.979","412.708"
"BHLHE40","-39.924","20.375","-1.960","0.050","-79.858","0.009"
"GABPA","213.893","115.942","1.845","0.065","-13.348","441.135"
"POLR2AphosphoS2","-43.379","49.824","-0.871","0.384","-141.032","54.274"
"SMAD5","22.641","150.194","0.151","0.880","-271.734","317.015"
"EED","-19.401","93.950","-0.206","0.836","-203.540","164.739"
"ELF1","-2.592","36.150","-0.072","0.943","-73.445","68.261"
"CBFB","-60.030","90.582","-0.663","0.508","-237.569","117.508"
"POLR2AphosphoS5","-52.733","79.373","-0.664","0.506","-208.301","102.836"
"SREBF2","-1156.256","511.755","-2.259","0.024","-2159.279","-153.234"
"ZBED1","347.666","147.855","2.351","0.019","57.876","637.457"
"POU2F2","1010.539","449.532","2.248","0.025","129.472","1891.606"
"ATF7","13.104","53.351","0.246","0.806","-91.462","117.671"
"IKZF2","12.898","42.188","0.306","0.760","-69.789","95.586"
"NR2F1","-8.747","118.403","-0.074","0.941","-240.814","223.319"
"ARNT","107.243","66.429","1.614","0.106","-22.955","237.441"
"ZNF217","231.933","190.281","1.219","0.223","-141.011","604.877"
"SMAD1","6.403","187.416","0.034","0.973","-360.926","373.733"
"RELB","-12.542","102.539","-0.122","0.903","-213.514","188.431"
"IKZF1","-12.947","22.990","-0.563","0.573","-58.007","32.113"
"SPI1","10.680","109.128","0.098","0.922","-203.206","224.566"
"USF1","-20.719","51.559","-0.402","0.688","-121.772","80.334"
"BCL11A","190.704","198.023","0.963","0.336","-197.414","578.823"
"IRF4","-243.682","229.040","-1.064","0.287","-692.593","205.229"
"ZNF687","-41.690","84.792","-0.492","0.623","-207.879","124.499"
"MAZ","38.143","53.382","0.715","0.475","-66.483","142.770"
"MTA2","-31.189","112.638","-0.277","0.782","-251.956","189.578"
"NBN","-112.617","68.816","-1.636","0.102","-247.493","22.260"
"TBX21","-162.126","98.479","-1.646","0.100","-355.143","30.890"
"TARDBP","282.789","169.553","1.668","0.095","-49.528","615.107"
"CREB1","111.964","50.941","2.198","0.028","12.121","211.806"
"ZNF592","200.174","106.689","1.876","0.061","-8.934","409.281"
"MEF2A","448.963","319.679","1.404","0.160","-177.596","1075.522"
"ATF2","35.903","214.076","0.168","0.867","-383.677","455.483"
"TCF7","98.069","250.210","0.392","0.695","-392.335","588.472"
"NFIC","-138.418","148.658","-0.931","0.352","-429.783","152.947"
"ZBTB40","18.763","115.855","0.162","0.871","-208.310","245.835"
"SKIL","565.587","2454.292","0.230","0.818","-4244.738","5375.912"
"SRF","-104.456","38.243","-2.731","0.006","-179.410","-29.501"
"YY1","-11.216","77.596","-0.145","0.885","-163.302","140.869"
"BACH1","-213.252","148.076","-1.440","0.150","-503.475","76.971"
