"","Coef.","Std.Err.","z","P>|z|","[0.025","0.975]"
"Intercept","79.599","17.622","4.517","0.000","45.061","114.137"
"IRF3","2253.362","221.067","10.193","0.000","1820.078","2686.646"
"NFYB","114.119","73.009","1.563","0.118","-28.976","257.214"
"NFYA","-544.883","223.616","-2.437","0.015","-983.162","-106.605"
"ZNF143","-185.620","67.270","-2.759","0.006","-317.466","-53.773"
"POLR2A","-5.343","16.291","-0.328","0.743","-37.273","26.588"
"TBP","3.793","69.275","0.055","0.956","-131.983","139.570"
"PKNOX1","84.082","89.673","0.938","0.348","-91.673","259.838"
"CHD2","-26.633","120.948","-0.220","0.826","-263.686","210.420"
"EBF1","-68.546","63.719","-1.076","0.282","-193.432","56.340"
"MEF2B","149.937","127.196","1.179","0.238","-99.363","399.237"
"DPF2","133.171","191.379","0.696","0.487","-241.926","508.268"
"GATAD2B","17.185","316.217","0.054","0.957","-602.589","636.959"
"NKRF","91.661","201.492","0.455","0.649","-303.255","486.578"
"BHLHE40","-3.533","40.341","-0.088","0.930","-82.600","75.534"
"GABPA","37.719","225.603","0.167","0.867","-404.455","479.892"
"POLR2AphosphoS2","43.411","97.881","0.444","0.657","-148.432","235.254"
"SMAD5","-63.359","287.205","-0.221","0.825","-626.271","499.552"
"EED","4.234","182.412","0.023","0.981","-353.288","361.755"
"ELF1","5.230","69.249","0.076","0.940","-130.496","140.956"
"CBFB","78.221","179.331","0.436","0.663","-273.261","429.703"
"POLR2AphosphoS5","-24.488","154.678","-0.158","0.874","-327.652","278.676"
"SREBF2","625.368","968.967","0.645","0.519","-1273.774","2524.509"
"ZBED1","208.283","284.394","0.732","0.464","-349.120","765.685"
"POU2F2","-629.794","870.851","-0.723","0.470","-2336.630","1077.043"
"ATF7","3.196","102.699","0.031","0.975","-198.091","204.483"
"IKZF2","6.905","80.746","0.086","0.932","-151.354","165.163"
"NR2F1","27.119","228.882","0.118","0.906","-421.482","475.720"
"ARNT","98.509","130.458","0.755","0.450","-157.184","354.203"
"ZNF217","330.632","381.018","0.868","0.386","-416.150","1077.414"
"SMAD1","165.691","362.758","0.457","0.648","-545.302","876.685"
"RELB","208.024","200.939","1.035","0.301","-185.809","601.856"
"IKZF1","-54.722","45.339","-1.207","0.227","-143.584","34.141"
"SPI1","-81.727","215.587","-0.379","0.705","-504.270","340.817"
"USF1","22.558","100.701","0.224","0.823","-174.812","219.929"
"BCL11A","-35.133","388.572","-0.090","0.928","-796.720","726.454"
"IRF4","13.424","445.640","0.030","0.976","-860.015","886.863"
"ZNF687","-315.378","163.274","-1.932","0.053","-635.390","4.634"
"MAZ","144.108","105.199","1.370","0.171","-62.079","350.294"
"MTA2","64.462","217.365","0.297","0.767","-361.567","490.490"
"NBN","-214.206","132.985","-1.611","0.107","-474.852","46.440"
"TBX21","-59.678","191.539","-0.312","0.755","-435.088","315.731"
"TARDBP","204.424","330.229","0.619","0.536","-442.813","851.660"
"CREB1","18.952","102.026","0.186","0.853","-181.015","218.918"
"ZNF592","-190.466","206.291","-0.923","0.356","-594.788","213.857"
"MEF2A","2144.046","631.419","3.396","0.001","906.489","3381.604"
"ATF2","-199.414","416.559","-0.479","0.632","-1015.854","617.027"
"TCF7","834.485","487.471","1.712","0.087","-120.940","1789.910"
"NFIC","153.044","285.765","0.536","0.592","-407.044","713.133"
"ZBTB40","-171.170","228.362","-0.750","0.454","-618.751","276.410"
"SKIL","1819.749","4879.159","0.373","0.709","-7743.226","11382.725"
"SRF","-89.498","76.111","-1.176","0.240","-238.674","59.677"
